index,dist,dn1,dn2,dnm,dt,head,id,speed,t1,t2,tm,u,v,x1,x2,xm,y1,y2,ym,z1,z2,zm,depth,i,us,vs,nsmooth,time,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
0,19.039432764659768,736777.7166666667,736777.7173611111,736777.7170138889,45.0,1.8094056493030977,8255,0.42309850588132825,1521936740.0,1521936785.0,1521936762.5,-0.1,0.4111111111111111,647375.6,647371.1,647373.35,4185754.6,4185773.1,4185763.85,0.5,4.0,2.25,2.0025,109260.0,-0.15907990314769976,0.3519370460048426,5.0,2018-03-25 00:12:30.000000,-0.29970367908008877,-0.30942702020032486,0.32563214455231987,0.33615795034855434,0.0015622835272154217,-0.0014962670886026763,-5.790025,-1.760253719000948
1,6.264982043070834,736777.7173611111,736777.7173611111,736777.7173611111,15.0,2.070143048475027,8255,0.4176654695380556,1521936785.0,1521936800.0,1521936792.5,-0.2,0.36666666666666653,647371.1,647368.1,647369.6,4185773.1,4185778.6,4185775.85,4.0,3.0,3.5,1.7587,113967.0,-0.18375,0.3503124999999999,6.0,2018-03-25 00:13:00.000000,-0.3256686746406051,-0.29990633226239166,0.3363053910185717,0.3175836858406027,-0.00026719322580866234,-0.0013705558864784,-5.790025,-1.760370075203323
2,5.0,736777.7173611111,736777.7173611111,736777.7173611111,15.0,2.4980915447965093,8255,0.3333333333333333,1521936800.0,1521936815.0,1521936807.5,-0.26666666666666666,0.2,647368.1,647364.1,647366.1,4185778.6,4185781.6,4185780.1,3.0,4.5,3.75,1.7038,115649.0,-0.19340314136125644,0.3362827225130889,7.0,2018-03-25 00:13:00.000000,-0.32705283009066316,-0.2992697237236251,0.34274351853952456,0.3182786193014807,-0.0003844935846527009,-0.0020253533927425266,-5.716652505866415,-1.761042031802681
3,1.5811388300841898,736777.7173611111,736777.7173611111,736777.7173611111,5.0,2.8198420991931514,8255,0.31622776601683794,1521936815.0,1521936820.0,1521936817.5,-0.3,0.1,647364.1,647362.6,647363.35,4185781.6,4185782.1,4185781.85,4.5,5.0,4.75,1.4509,109161.0,-0.19240649792217604,0.317000377786173,8.0,2018-03-25 00:13:00.000000,-0.3269998577565055,-0.29875814128099637,0.3481676172750605,0.31994290098908973,-0.0008607975707696919,-0.002109590824713528,-5.635336439442071,-1.7614231557531446
4,6.726812023536855,736777.7173611111,736777.7173611111,736777.7173611111,10.0,2.3036114285814038,8255,0.6726812023536854,1521936820.0,1521936830.0,1521936825.0,-0.45,0.5,647362.6,647358.1,647360.35,4185782.1,4185787.1,4185784.6,5.0,0.5,2.75,1.2192,108776.0,-0.2571676802780191,0.2506516072980017,8.0,2018-03-25 00:13:00.000000,-0.3256521774464933,-0.29703834037773874,0.3544412450958318,0.3213264968641889,-0.0005827857294655736,-0.0017803541875612006,-5.516263570788643,-1.7619297139253098
5,1.4142135623730951,736777.7173611111,736777.7180555556,736777.7177083334,10.0,2.3561944901923453,8255,0.1414213562373095,1521936830.0,1521936840.0,1521936835.0,-0.1,0.1,647358.1,647357.1,647357.6,4185787.1,4185788.1,4185787.6,0.5,4.5,2.5,1.2283,109121.0,-0.2769853508095605,0.2376638396299152,8.0,2018-03-25 00:13:30.000000,-0.3279855593688651,-0.29973174303448136,0.35490223983235314,0.32223450488639016,0.0007953340666649045,-0.001241301365285094,-5.51431,-1.7624908854008647
6,1.118033988749895,736777.7180555556,736777.7180555556,736777.7180555556,5.0,-1.1071487177940904,8255,0.22360679774997896,1521936840.0,1521936845.0,1521936842.5,0.1,-0.2,647357.1,647357.6,647357.35,4185788.1,4185787.1,4185787.6,4.5,5.0,4.75,1.2283,109121.0,-0.28913591565436625,0.25022920009168004,8.0,2018-03-25 00:14:00.000000,-0.3283692551105837,-0.30014381792390554,0.35456435414091864,0.3222695757004623,0.0013171551882807386,-0.0011990014654482684,-5.51431,-1.7625224006377689
7,4.949747468305833,736777.7180555556,736777.7180555556,736777.7180555556,5.0,2.3561944901923453,8255,0.9899494936611666,1521936845.0,1521936850.0,1521936847.5,-0.7,0.7,647357.6,647354.1,647355.85,4185787.1,4185790.6,4185788.85,5.0,2.5,3.75,1.2283,109121.0,-0.3019666269368296,0.2558998808104887,8.0,2018-03-25 00:14:00.000000,-0.3298568901484834,-0.30210675198683545,0.35309969567681787,0.3223853185455137,0.0024154269488937535,-0.000738788866854509,-5.51431,-1.7628192504809976
8,2.9154759474226504,736777.7180555556,736777.7180555556,736777.7180555556,6.0,2.601173153319209,8255,0.4859126579037751,1521936850.0,1521936856.0,1521936853.0,-0.4166666666666667,0.25,647354.1,647351.6,647352.85,4185790.6,4185792.1,4185791.35,2.5,5.0,3.75,1.2344,108772.0,-0.3143336127409891,0.24364347583123774,8.0,2018-03-25 00:14:00.000000,-0.33360903524516516,-0.30608563260222393,0.34826055880557516,0.32131294806415944,0.002411277781010121,-0.0008790689368333299,-5.51431,-1.7633711599136246
9,3.9051248379533265,736777.7180555556,736777.7180555556,736777.7180555556,10.0,2.4468543773930898,8255,0.3905124837953327,1521936856.0,1521936866.0,1521936861.0,-0.3,0.25,647351.6,647348.6,647350.1,4185792.1,4185794.6,4185793.35,5.0,3.0,4.0,1.1826,108882.0,-0.32384946724098845,0.2826796644751757,8.0,2018-03-25 00:14:00.000000,-0.33550339270746055,-0.3098846770326099,0.3397781915888415,0.3186079263464547,0.0032170991658342224,-0.0005194465380582713,-5.51431,-1.763784478039251
