index,dist,dn1,dn2,dnm,dt,head,id,speed,t1,t2,tm,u,v,x1,x2,xm,y1,y2,ym,depth,i,us,vs,nsmooth
0,97.01159724486553,736777.7145833333,736777.7166666667,736777.715625,207.0,2.5135542298560942,8255,0.46865505915393973,1521936563.0,1521936770.0,1521936666.5,-0.37922705314009664,0.2753623188405797,647434.6,647356.1,647395.35,4185697.1,4185754.1,4185725.6,1.7557,110464.0,-0.29237746525755187,0.33249424426506907,5.0
1,24.20743687382041,736777.7166666667,736777.7173611111,736777.7170138889,15.0,0.9025069079643125,8255,1.6138291249213605,1521936770.0,1521936785.0,1521936777.5,1.0,1.2666666666666666,647356.1,647371.1,647363.6,4185754.1,4185773.1,4185763.6,1.649,109264.0,-0.285638994083873,0.33351250414477945,6.0
2,6.264982043070834,736777.7173611111,736777.7173611111,736777.7173611111,15.0,2.070143048475027,8255,0.4176654695380556,1521936785.0,1521936800.0,1521936792.5,-0.2,0.36666666666666664,647371.1,647368.1,647369.6,4185773.1,4185778.6,4185775.85,1.7587,113967.0,-0.2829129232895646,0.3361648621669354,7.0
3,5.0,736777.7173611111,736777.7173611111,736777.7173611111,15.0,2.498091544796509,8255,0.3333333333333333,1521936800.0,1521936815.0,1521936807.5,-0.26666666666666666,0.2,647368.1,647364.1,647366.1,4185778.6,4185781.6,4185780.1,1.7038,115649.0,-0.27889067591693345,0.3355249622253735,8.0
4,1.5811388300841898,736777.7173611111,736777.7173611111,736777.7173611111,5.0,2.819842099193151,8255,0.31622776601683794,1521936815.0,1521936820.0,1521936817.5,-0.3,0.1,647364.1,647362.6,647363.35,4185781.6,4185782.1,4185781.85,1.4509,109161.0,-0.08398213146139119,0.3901723037651563,8.0
5,6.726812023536855,736777.7173611111,736777.7173611111,736777.7173611111,10.0,2.3036114285814033,8255,0.6726812023536854,1521936820.0,1521936830.0,1521936825.0,-0.45,0.5,647362.6,647358.1,647360.35,4185782.1,4185787.1,4185784.6,1.2192,108776.0,-0.2571676802780191,0.25065160729800173,8.0
6,1.4142135623730951,736777.7173611111,736777.7180555556,736777.7177083334,10.0,2.356194490192345,8255,0.1414213562373095,1521936830.0,1521936840.0,1521936835.0,-0.1,0.1,647358.1,647357.1,647357.6,4185787.1,4185788.1,4185787.6,1.2283,109121.0,-0.27698535080956055,0.2376638396299152,8.0
7,1.118033988749895,736777.7180555556,736777.7180555556,736777.7180555556,5.0,-1.1071487177940904,8255,0.223606797749979,1521936840.0,1521936845.0,1521936842.5,0.1,-0.2,647357.1,647357.6,647357.35,4185788.1,4185787.1,4185787.6,1.2283,109121.0,-0.28913591565436625,0.25022920009168004,8.0
8,4.949747468305833,736777.7180555556,736777.7180555556,736777.7180555556,5.0,2.356194490192345,8255,0.9899494936611666,1521936845.0,1521936850.0,1521936847.5,-0.7,0.7,647357.6,647354.1,647355.85,4185787.1,4185790.6,4185788.85,1.2283,109121.0,-0.3019666269368296,0.2558998808104887,8.0
9,2.9154759474226504,736777.7180555556,736777.7180555556,736777.7180555556,6.0,2.601173153319209,8255,0.4859126579037751,1521936850.0,1521936856.0,1521936853.0,-0.4166666666666667,0.25,647354.1,647351.6,647352.85,4185790.6,4185792.1,4185791.35,1.2344,108772.0,-0.30004381001058744,0.26306085940637436,8.0
